ゲーム                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 game
ドア                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  door
テーブル                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                table
ミーティング                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              meeting
スポーツ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                sport
バス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  bus
ピクニック                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               picnic
キャッシュカード                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            cash card
カップ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 cup
ノック                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 knock
クリーニング                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              cleaning, laundry
ハンカチ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                handkerchief
カレーライス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              curried rice
オレンジ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                orange
トマト                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 tomato
アナウンサー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              news reader, announcer
ボーイフレンド                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             boyfriend
シャープペンシル                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            mechanical pencil
キャンプ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                camping, camp
ハイキング                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               hiking
パーティー                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               party
ページ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 page
ノート                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 note book, laptop
スーツ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 suit
カーテン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                curtain
サンドイッチ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              sandwich
ピンポン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                table tennis, ping pong
クリスマス                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Christmas
バナナ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 banana
バター                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 butter
サラダ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 salad
ラーメン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ramen (Chinese noodles)
スプーン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                spoon
ワイン                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 wine
