#separator:tab
#html:true
#tags column:5
相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
相次いで	相[あい] 次[つ]いで	one after the other		0107
～相手	～ 相[あい] 手[て]	～ partner		0055
アイデア	アイデア	idea		0112
あいにく	あいにく	unfortunately		0137
あいまい	あいまい	vague, unclear		0107
遭う	遭[あ]う	to encounter		0058
～合う	～ 合[あ]う	～ with [to, at] each other		0160
青白い	青[あお] 白[じろ]い	pale		0022
赤字	赤[あか] 字[じ]	deficit, loss		0062
あがる	あがる	to get nervous		0113
～上がる	～ 上[あ]がる	to be completed, to go up		0019 0023 0160
飽きっぽい	飽[あ]きっぽい	soon get tired of		0006 0007
あきらめる	あきらめる	to give up		0042 0118
飽きる	飽[あ]きる	to get tired of, to get sick of		0006 0118
あきれる	あきれる	to be dumbfounded [astounded]		0118
悪～	悪[あく]～	bad ～		0167
握手	握[あく] 手[しゅ]	handshake		0002
あくび	あくび	yawn		0022
あくまで	あくまで	to the last, persistently		0137
～明け	～ 明[あ]け	beginning of, after		0161
明け方	明[あ]け 方[がた]	dawn		0082
明ける	明[あ]ける	to end, to break		0034
揚げる	揚[あ]げる	to fry		0018
～上げる	～ 上[あ]げる	(indicates upward movement)		0035 0051
あこがれる	あこがれる	to long for		0010 0118
味付け	味[あじ] 付[つ]け	seasoning		0014
味わう	味[あじ]わう	to taste		0014
足を延ばす	足[あし]を 延[の]ばす	to extend one's visit		0154
足を運ぶ	足[あし]を 運[はこ]ぶ	to pay a visit		0154
足を引っ張る	足[あし]を 引[ひ]っ 張[ぱ]る	to hold back, to cause trouble		0154
預ける	預[あず]ける	to entrust, to leave with		0054
汗	汗[あせ]	sweat		0034
遊び回る	遊[あそ]び 回[まわ]る	to play around		0160
与える	与[あた]える	to give		0082
あたかも	あたかも	as if		0131
温かみ	温[あたた]かみ	warmth		0179
温まる	温[あたた]まる	to warm up (vi.)		0178
暖まる	暖[あたた]まる	to warm up (vi.)		0178
温め直す	温[あたた]め 直[なお]す	to reheat		0160
温める	温[あたた]める	to heat [warm] up (vt.)		0178
暖める	暖[あたた]める	to heat [warm up] (vt.)		0178
